LoanID,CustomerAge,Income,LoanAmount,InterestRate,TermMonths,CreditScore,OriginationDate,Defaulted,DefaultDate
L00000,49,123694,47732,12.36,12,421,2022-11-15,0,
L00001,31,107498,47131,6.0,12,430,2024-03-27,0,
L00002,22,79735,5433,6.55,36,576,2024-01-04,0,
L00003,42,91932,30480,8.08,24,358,2024-04-03,0,
L00004,48,22747,3189,5.27,24,543,2024-03-17,0,
L00005,23,89092,6890,13.52,24,466,2023-09-14,0,
L00006,45,128859,46021,15.32,12,645,2023-03-15,0,
L00007,40,140923,26483,5.71,60,808,2022-09-09,0,
L00008,55,100077,38920,7.62,12,687,2022-05-28,1,2023-04-29
L00009,26,129109,16417,11.95,60,776,2022-09-08,0,
L00010,46,91211,3161,9.53,48,569,2024-02-15,1,2024-08-07
L00011,35,114663,43397,6.74,12,595,2024-03-12,0,
L00012,65,94065,20262,15.6,12,516,2022-05-25,1,2022-08-20
L00013,65,125512,41044,15.23,12,364,2023-08-16,0,
L00014,29,140151,5027,8.11,24,362,2023-05-19,0,
L00015,37,53159,16986,15.06,24,678,2024-02-24,1,2025-12-04
L00016,59,84505,41952,16.81,60,500,2022-10-24,0,
L00017,54,72256,26599,9.19,60,398,2024-01-26,0,
L00018,42,44538,45530,10.61,12,761,2022-08-18,0,
L00019,25,142073,36270,14.79,60,692,2023-03-30,1,2026-11-21
L00020,46,142409,26419,5.51,24,540,2023-06-20,0,
L00021,52,107939,21141,5.95,60,530,2023-04-24,0,
L00022,63,139324,36827,17.2,48,542,2024-01-23,0,
L00023,22,129225,45557,12.87,24,327,2022-06-14,0,
L00024,40,68925,45941,11.55,48,805,2022-10-30,0,
L00025,45,64262,26776,7.81,60,582,2023-01-03,0,
L00026,33,75016,12474,4.1,36,755,2024-01-18,0,
L00027,57,117504,35562,7.77,12,673,2023-08-29,0,
L00028,44,88840,49576,7.55,24,567,2024-04-03,0,
L00029,22,109474,26664,6.07,48,380,2024-05-08,0,
L00030,22,123041,49645,4.46,36,524,2022-06-08,0,
L00031,22,107092,41559,11.74,36,546,2023-07-31,0,
L00032,31,129751,15688,14.2,24,579,2024-04-29,0,
L00033,54,85733,26509,11.5,24,443,2023-03-06,0,
L00034,26,71663,18708,16.02,36,702,2023-10-16,1,2025-12-27
L00035,39,31411,5911,5.35,12,788,2024-02-13,0,
L00036,59,120689,14111,5.93,12,772,2023-04-30,0,
L00037,51,105981,33306,7.2,48,443,2023-10-07,0,
L00038,69,22049,34616,5.3,12,752,2022-12-20,1,2023-07-10
L00039,29,27400,45642,14.16,36,430,2022-09-09,1,2025-07-11
L00040,53,32183,32299,5.18,36,719,2022-10-23,1,2024-11-30
L00041,40,143133,5557,17.16,60,452,2022-09-30,1,2024-12-08
L00042,66,139121,14969,13.69,36,460,2022-09-27,0,
L00043,34,111412,24295,14.45,12,691,2023-07-17,0,
L00044,37,90271,47064,11.6,48,769,2023-09-18,1,2025-03-04
L00045,66,136381,17373,17.7,60,737,2022-10-07,0,
L00046,47,69377,35352,12.08,12,780,2023-02-05,1,2023-02-06
L00047,68,65714,40410,14.76,48,811,2023-03-05,0,
L00048,48,38589,46484,7.91,12,817,2023-03-12,0,
L00049,61,53828,21711,8.63,60,601,2023-05-18,0,
L00050,55,86235,3190,8.28,36,460,2024-02-03,1,2026-04-05
L00051,38,54584,35745,17.11,60,622,2022-06-11,0,
L00052,44,131217,10455,13.4,36,454,2023-01-17,0,
L00053,46,86320,30751,13.76,60,545,2024-03-26,0,
L00054,49,25801,22190,9.88,24,707,2022-11-11,0,
L00055,27,109912,48091,15.18,12,620,2023-07-19,1,2024-07-03
L00056,66,90031,13893,16.46,12,770,2023-06-18,0,
L00057,54,98657,13966,13.41,24,350,2024-01-12,0,
L00058,42,75609,34289,4.43,36,353,2024-03-21,0,
L00059,57,133632,17599,14.78,12,304,2023-04-26,0,
L00060,26,86412,35093,11.57,24,568,2023-11-17,0,
L00061,62,103613,29258,15.13,12,357,2023-03-19,1,2023-11-22
L00062,57,52217,11308,5.13,48,426,2022-06-12,0,
L00063,21,86617,32305,6.19,36,395,2022-12-08,0,
L00064,68,40056,48543,17.08,48,571,2023-08-11,0,
L00065,25,133429,11130,7.47,36,734,2022-11-25,0,
L00066,49,81389,12435,4.64,24,393,2023-12-18,0,
L00067,25,115435,46919,5.37,36,731,2024-03-30,1,2026-05-24
L00068,56,82752,40220,9.58,36,821,2022-12-09,1,2024-11-14
L00069,56,88385,43158,4.21,24,741,2024-02-21,1,2024-11-09
L00070,25,36364,7611,12.62,36,635,2022-06-25,0,
