LoanID,CustomerAge,Income,LoanAmount,InterestRate,TermMonths,CreditScore,OriginationDate,Defaulted,DefaultDate,DTI,LTI,AgeGroup,TimeToDefaultMonths,OriginationMonth,GDP_Growth,Unemployment_Rate,Inflation_Rate,GDP_Growth_3MAvg,Unemployment_3MAvg,Inflation_3MAvg,PD,LGD,EAD,ECL,CreditScoreBand,IFRS9_Stage
L00000,49,123694,47732,12.36,12,421,2022-11-15,0,,0.3858877552670299,0.3858877552670299,40s,0.0,2022-11-01,2.886562168284985,6.436722334884672,2.239832317477644,2.48204162733108,6.3020746040491735,2.4701808206419096,0.06,0.3036102180767909,48629.06955847022,885.8569448111145,Poor,Stage 2
L00001,31,107498,47131,6.0,12,430,2024-03-27,0,,0.4384360639267707,0.4384360639267707,30s,0.0,2024-03-01,2.717037698935256,6.6309184348097325,2.057574098064692,2.373906256198936,5.360597561089043,2.221815312843654,0.26,0.3274111044843175,45709.58460070383,3891.114650705306,Poor,Stage 2
L00002,22,79735,5433,6.55,36,576,2024-01-04,0,,0.0681382078133818,0.0681382078133818,20s,0.0,2024-01-01,2.2579784143704336,5.323742143291377,2.26396814147374,1.964303541078592,6.45362652850156,2.2956399972246384,0.03,0.3130919351132516,5105.061548342223,47.95060797128158,Poor,Stage 2
L00003,42,91932,30480,8.08,24,358,2024-04-03,0,,0.3315494060827568,0.3315494060827568,40s,0.0,2024-04-01,2.610925191020669,4.921261927611488,2.4286029073507773,2.4915551817490145,5.226437489195747,2.276693568136,0.34,0.2518725403506164,30706.86680570644,2629.6336265108416,Poor,Stage 2
L00004,48,22747,3189,5.27,24,543,2024-03-17,0,,0.1401943113377588,0.1401943113377588,40s,0.0,2024-03-01,2.717037698935256,6.6309184348097325,2.057574098064692,2.373906256198936,5.360597561089043,2.221815312843654,0.52,0.2459958287025221,3221.5261464693795,412.09063692554037,Poor,Stage 3
L00005,23,89092,6890,13.52,24,466,2023-09-14,0,,0.0773357877250482,0.0773357877250482,20s,0.0,2023-09-01,1.1591001010794146,4.230644229196696,2.9397958517909712,2.114432919187339,4.96997050653583,2.5842995703130565,0.24,0.3607139855362725,7176.842235130321,621.3089678877378,Poor,Stage 2
L00006,45,128859,46021,15.32,12,645,2023-03-15,0,,0.3571423028271211,0.3571423028271211,40s,0.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024,0.03,0.2696383497700605,45557.46255378937,368.52117068145276,Fair,Stage 2
L00007,40,140923,26483,5.71,60,808,2022-09-09,0,,0.187925320919935,0.187925320919935,30s,0.0,2022-09-01,1.9288699846668167,6.060691103133213,2.570890997120925,2.5304225017032462,5.8521320135718575,2.1555422827866253,0.22,0.280121355872665,26207.128760969088,1615.0588172514788,Excellent,Stage 2
L00008,55,100077,38920,7.62,12,687,2022-05-28,1,2023-04-29,0.3889005465791341,0.3889005465791341,50s,11.0,2022-05-01,1.3761188425140192,6.318907291787187,2.569954585294288,1.7584506549428334,6.411956393472274,2.4795611804930995,0.23,0.2514432823288398,39161.82024284569,2264.8046234816184,Good,Stage 2
L00009,26,129109,16417,11.95,60,776,2022-09-08,0,,0.1271561238953132,0.1271561238953132,20s,0.0,2022-09-01,1.9288699846668167,6.060691103133213,2.570890997120925,2.5304225017032462,5.8521320135718575,2.1555422827866253,0.06,0.261411443500911,15533.90133957649,243.6443743427655,Very Good,Stage 2
