LoanID,CustomerAge,Income,LoanAmount,InterestRate,TermMonths,CreditScore,OriginationDate,Defaulted,DefaultDate,DTI,LTI,AgeGroup,TimeToDefaultMonths,OriginationMonth,GDP_Growth,Unemployment_Rate,Inflation_Rate,GDP_Growth_3MAvg,Unemployment_3MAvg,Inflation_3MAvg
L00000,49,123694,47732,12.36,12,421,2022-11-15,0,,0.38588775526702995,0.38588775526702995,40s,0.0,2022-11-01,2.886562168284985,6.436722334884672,2.239832317477644,2.4820416273310797,6.3020746040491735,2.4701808206419096
L00001,31,107498,47131,6.0,12,430,2024-03-27,0,,0.43843606392677076,0.43843606392677076,30s,0.0,2024-03-01,2.717037698935256,6.6309184348097325,2.057574098064692,2.3739062561989357,5.360597561089043,2.221815312843654
L00002,22,79735,5433,6.55,36,576,2024-01-04,0,,0.06813820781338183,0.06813820781338183,20s,0.0,2024-01-01,2.2579784143704336,5.323742143291377,2.26396814147374,1.9643035410785916,6.45362652850156,2.2956399972246384
L00003,42,91932,30480,8.08,24,358,2024-04-03,0,,0.33154940608275685,0.33154940608275685,40s,0.0,2024-04-01,2.610925191020669,4.921261927611488,2.4286029073507773,2.4915551817490145,5.226437489195747,2.276693568136
L00004,48,22747,3189,5.27,24,543,2024-03-17,0,,0.14019431133775884,0.14019431133775884,40s,0.0,2024-03-01,2.717037698935256,6.6309184348097325,2.057574098064692,2.3739062561989357,5.360597561089043,2.221815312843654
L00005,23,89092,6890,13.52,24,466,2023-09-14,0,,0.07733578772504826,0.07733578772504826,20s,0.0,2023-09-01,1.1591001010794146,4.230644229196696,2.9397958517909712,2.114432919187339,4.96997050653583,2.5842995703130565
L00006,45,128859,46021,15.32,12,645,2023-03-15,0,,0.3571423028271211,0.3571423028271211,40s,0.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024
L00007,40,140923,26483,5.71,60,808,2022-09-09,0,,0.187925320919935,0.187925320919935,30s,0.0,2022-09-01,1.9288699846668167,6.060691103133213,2.570890997120925,2.5304225017032462,5.8521320135718575,2.1555422827866253
L00008,55,100077,38920,7.62,12,687,2022-05-28,1,2023-04-29,0.3889005465791341,0.3889005465791341,50s,11.0,2022-05-01,1.3761188425140192,6.318907291787187,2.569954585294288,1.7584506549428334,6.411956393472274,2.4795611804930995
L00009,26,129109,16417,11.95,60,776,2022-09-08,0,,0.12715612389531325,0.12715612389531325,20s,0.0,2022-09-01,1.9288699846668167,6.060691103133213,2.570890997120925,2.5304225017032462,5.8521320135718575,2.1555422827866253
L00010,46,91211,3161,9.53,48,569,2024-02-15,1,2024-08-07,0.03465590773042725,0.03465590773042725,40s,6.0,2024-02-01,2.146702655291118,4.127132105166019,2.34390369899253,2.0997858453349783,5.506876616557747,2.1819356611975134
L00011,35,114663,43397,6.74,12,595,2024-03-12,0,,0.3784743116785711,0.3784743116785711,30s,0.0,2024-03-01,2.717037698935256,6.6309184348097325,2.057574098064692,2.3739062561989357,5.360597561089043,2.221815312843654
L00012,65,94065,20262,15.6,12,516,2022-05-25,1,2022-08-20,0.21540424174772763,0.21540424174772763,60s,3.0,2022-05-01,1.3761188425140192,6.318907291787187,2.569954585294288,1.7584506549428334,6.411956393472274,2.4795611804930995
L00013,65,125512,41044,15.23,12,364,2023-08-16,0,,0.32701255656829625,0.32701255656829625,60s,0.0,2023-08-01,2.32466590502742,5.368390005873416,2.822011395704353,2.290270107591903,5.323876239875504,2.5217881940193556
L00014,29,140151,5027,8.11,24,362,2023-05-19,0,,0.035868456165136176,0.035868456165136176,20s,0.0,2023-05-01,1.9134642250612213,4.921429141968128,2.536535433577892,1.9909266177032352,6.2400099885139495,2.8167784913630864
L00015,37,53159,16986,15.06,24,678,2024-02-24,1,2025-12-04,0.3195319701273538,0.3195319701273538,30s,22.0,2024-02-01,2.146702655291118,4.127132105166019,2.34390369899253,2.0997858453349783,5.506876616557747,2.1819356611975134
L00016,59,84505,41952,16.81,60,500,2022-10-24,0,,0.4964439973966038,0.4964439973966038,50s,0.0,2022-10-01,2.6306927290414364,6.4088103741296365,2.599819147327161,2.049337569661418,6.3880478651371675,2.413916357481154
L00017,54,72256,26599,9.19,60,398,2024-01-26,0,,0.3681216784765279,0.3681216784765279,50s,0.0,2024-01-01,2.2579784143704336,5.323742143291377,2.26396814147374,1.9643035410785916,6.45362652850156,2.2956399972246384
L00018,42,44538,45530,10.61,12,761,2022-08-18,0,,1.0222731150927298,1.0222731150927298,40s,0.0,2022-08-01,1.5884499952760007,6.694642118148653,2.071038927995376,2.5550033703400445,5.676320311620862,2.2290679117675807
L00019,25,142073,36270,14.79,60,692,2023-03-30,1,2026-11-21,0.25529129391228456,0.25529129391228456,20s,44.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024
L00020,46,142409,26419,5.51,24,540,2023-06-20,0,,0.18551496043087165,0.18551496043087165,40s,0.0,2023-06-01,1.6866116662931072,5.292361429215716,2.7522617229098687,1.970851792373928,5.546148941512129,2.7579101610323917
L00021,52,107939,21141,5.95,60,530,2023-04-24,0,,0.19586062498262907,0.19586062498262907,50s,0.0,2023-04-01,2.312479485767456,6.424656253352545,2.984933326609414,2.1516471976282863,6.411166137758511,2.7851291234802766
L00022,63,139324,36827,17.2,48,542,2024-01-23,0,,0.2643263185093738,0.2643263185093738,60s,0.0,2024-01-01,2.2579784143704336,5.323742143291377,2.26396814147374,1.9643035410785916,6.45362652850156,2.2956399972246384
L00023,22,129225,45557,12.87,24,327,2022-06-14,0,,0.352540143161153,0.352540143161153,20s,0.0,2022-06-01,2.002612590577211,5.533255997280228,2.7914678840637914,1.720401525688848,6.070943201332469,2.63804158965663
L00024,40,68925,45941,11.55,48,805,2022-10-30,0,,0.6665360899528473,0.6665360899528473,30s,0.0,2022-10-01,2.6306927290414364,6.4088103741296365,2.599819147327161,2.049337569661418,6.3880478651371675,2.413916357481154
L00025,45,64262,26776,7.81,60,582,2023-01-03,0,,0.41666926021599077,0.41666926021599077,40s,0.0,2023-01-01,2.4823076569763702,7.721511165662398,2.7035067129716897,2.3590750079880727,6.043806803857092,2.5168408015261186
L00026,33,75016,12474,4.1,36,755,2024-01-18,0,,0.16628452596779353,0.16628452596779353,30s,0.0,2024-01-01,2.2579784143704336,5.323742143291377,2.26396814147374,1.9643035410785916,6.45362652850156,2.2956399972246384
