LoanID,CustomerAge,Income,LoanAmount,InterestRate,TermMonths,CreditScore,OriginationDate,Defaulted,DefaultDate,DTI,LTI,AgeGroup,TimeToDefaultMonths,OriginationMonth,GDP_Growth,Unemployment_Rate,Inflation_Rate,GDP_Growth_3MAvg,Unemployment_3MAvg,Inflation_3MAvg,PD,LGD,EAD
L00000,49,123694,47732,12.36,12,421,2022-11-15,0,,0.3858877552670299,0.3858877552670299,40s,0.0,2022-11-01,2.886562168284985,6.436722334884672,2.239832317477644,2.48204162733108,6.3020746040491735,2.4701808206419096,0.06,0.30361021807679095,48629.06955847022
L00001,31,107498,47131,6.0,12,430,2024-03-27,0,,0.4384360639267707,0.4384360639267707,30s,0.0,2024-03-01,2.717037698935256,6.6309184348097325,2.057574098064692,2.373906256198936,5.360597561089043,2.221815312843654,0.26,0.32741110448431754,45709.58460070383
L00002,22,79735,5433,6.55,36,576,2024-01-04,0,,0.0681382078133818,0.0681382078133818,20s,0.0,2024-01-01,2.2579784143704336,5.323742143291377,2.26396814147374,1.964303541078592,6.45362652850156,2.2956399972246384,0.03,0.3130919351132516,5105.0615483422225
L00003,42,91932,30480,8.08,24,358,2024-04-03,0,,0.3315494060827568,0.3315494060827568,40s,0.0,2024-04-01,2.610925191020669,4.921261927611488,2.4286029073507773,2.4915551817490145,5.226437489195747,2.276693568136,0.34,0.2518725403506164,30706.866805706442
L00004,48,22747,3189,5.27,24,543,2024-03-17,0,,0.1401943113377588,0.1401943113377588,40s,0.0,2024-03-01,2.717037698935256,6.6309184348097325,2.057574098064692,2.373906256198936,5.360597561089043,2.221815312843654,0.52,0.24599582870252212,3221.5261464693795
L00005,23,89092,6890,13.52,24,466,2023-09-14,0,,0.0773357877250482,0.0773357877250482,20s,0.0,2023-09-01,1.1591001010794146,4.230644229196696,2.9397958517909712,2.114432919187339,4.96997050653583,2.5842995703130565,0.24,0.36071398553627254,7176.842235130321
L00006,45,128859,46021,15.32,12,645,2023-03-15,0,,0.3571423028271211,0.3571423028271211,40s,0.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024,0.03,0.26963834977006057,45557.46255378937
L00007,40,140923,26483,5.71,60,808,2022-09-09,0,,0.187925320919935,0.187925320919935,30s,0.0,2022-09-01,1.9288699846668167,6.060691103133213,2.570890997120925,2.5304225017032462,5.8521320135718575,2.1555422827866253,0.22,0.280121355872665,26207.128760969088
L00008,55,100077,38920,7.62,12,687,2022-05-28,1,2023-04-29,0.3889005465791341,0.3889005465791341,50s,11.0,2022-05-01,1.3761188425140192,6.318907291787187,2.569954585294288,1.7584506549428334,6.411956393472274,2.4795611804930995,0.23,0.2514432823288398,39161.82024284569
L00009,26,129109,16417,11.95,60,776,2022-09-08,0,,0.1271561238953132,0.1271561238953132,20s,0.0,2022-09-01,1.9288699846668167,6.060691103133213,2.570890997120925,2.5304225017032462,5.8521320135718575,2.1555422827866253,0.06,0.261411443500911,15533.90133957649
L00010,46,91211,3161,9.53,48,569,2024-02-15,1,2024-08-07,0.0346559077304272,0.0346559077304272,40s,6.0,2024-02-01,2.146702655291118,4.127132105166019,2.34390369899253,2.0997858453349783,5.506876616557747,2.1819356611975134,0.76,0.25061520584547203,3107.778061110071
L00011,35,114663,43397,6.74,12,595,2024-03-12,0,,0.3784743116785711,0.3784743116785711,30s,0.0,2024-03-01,2.717037698935256,6.6309184348097325,2.057574098064692,2.373906256198936,5.360597561089043,2.221815312843654,0.16,0.24346275871700557,44519.65259929295
L00012,65,94065,20262,15.6,12,516,2022-05-25,1,2022-08-20,0.2154042417477276,0.2154042417477276,60s,3.0,2022-05-01,1.3761188425140192,6.318907291787187,2.569954585294288,1.7584506549428334,6.411956393472274,2.4795611804930995,0.76,0.2795532878698942,20654.502969227615
L00013,65,125512,41044,15.23,12,364,2023-08-16,0,,0.3270125565682962,0.3270125565682962,60s,0.0,2023-08-01,2.32466590502742,5.368390005873416,2.822011395704353,2.290270107591903,5.323876239875504,2.521788194019356,0.08,0.25967048716644975,41465.69495275576
L00014,29,140151,5027,8.11,24,362,2023-05-19,0,,0.0358684561651361,0.0358684561651361,20s,0.0,2023-05-01,1.9134642250612213,4.921429141968128,2.536535433577892,1.9909266177032352,6.2400099885139495,2.8167784913630864,0.18,0.33474975005063873,4843.115505987889
L00015,37,53159,16986,15.06,24,678,2024-02-24,1,2025-12-04,0.3195319701273538,0.3195319701273538,30s,22.0,2024-02-01,2.146702655291118,4.127132105166019,2.34390369899253,2.0997858453349783,5.506876616557747,2.1819356611975134,0.17,0.3178809057900085,16053.746586444882
L00016,59,84505,41952,16.81,60,500,2022-10-24,0,,0.4964439973966038,0.4964439973966038,50s,0.0,2022-10-01,2.6306927290414364,6.4088103741296365,2.599819147327161,2.049337569661418,6.388047865137168,2.413916357481154,0.05,0.3363875427025691,41504.99094742442
L00017,54,72256,26599,9.19,60,398,2024-01-26,0,,0.3681216784765279,0.3681216784765279,50s,0.0,2024-01-01,2.2579784143704336,5.323742143291377,2.26396814147374,1.964303541078592,6.45362652850156,2.2956399972246384,0.04,0.23668279819256915,26861.65728350603
L00018,42,44538,45530,10.61,12,761,2022-08-18,0,,1.0222731150927298,1.0222731150927298,40s,0.0,2022-08-01,1.5884499952760007,6.694642118148653,2.071038927995376,2.5550033703400445,5.676320311620862,2.2290679117675807,0.02,0.27459151533400705,44611.73164304756
